"Mutations to mutants (GC1)" "Mutants (GC1)" "Mutations to Mutators (GC1)" "Mutators (GC1)" "Mutations to mutant mutators (GC1)" "Mutator_mutants (GC1)" "Mutations to mutants (GC2)" "Mutants (GC2)" "Mutations to Mutators (GC2)" "Mutators (GC2)" "Mutations to mutant mutators (GC2)" "Mutator_mutants (GC2)" "Mutations to mutants (GC3)" "Mutants (GC3)" "Mutations to Mutators (GC3)" "Mutators (GC3)" "Mutations to mutant mutators (GC3)" "Mutator_mutants (GC3)"
876 4889 85943 1233259 621 5117 843 7549 86052 1758259 382 1734 927 27949 85778 2452962 399 4424
881 3940723 85839 1062905 453 1804 806 3744362 86111 1941833 361 5677 857 3682291 85763 2725506 357 1704
855 7829 86031 1268944 585 2854 837 51105 85971 1609868 365 1770 904 59980 86288 2516013 373 10179
931 6664 86240 1076035 520 3950 854 41539 85883 1964997 362 20639 866 33553 86626 2717380 331 4273
813 5021 85823 1104449 537 3444 847 24119 86139 1719848 378 1749 862 8895 85489 2797991 395 1319
883 6289 85942 867909 402 2013 866 17632 85562 1670423 344 3224 906 48283 85847 2603210 348 1390
884 5099 85893 1015064 509 2979 839 16513 86040 1619739 385 2521 851 52471 86287 2453244 388 1364
883 8479 85727 810427 410 3350 808 4934 85547 1467844 370 1633 819 4683 86054 1804682 391 1774
836 7633 85730 1205405 569 4032 844 10756 86280 2293164 399 1290 890 19584 86344 3079076 360 1516
873 7728 86005 962273 471 2162 818 10066 85442 1857407 357 1357 864 6845 86097 2795605 389 2043
853 7052 86397 820428 389 2090 871 6718 86180 1528575 361 2230 841 14673 85506 2406138 360 25022
907 5093 86104 1149608 574 2881 840 10216 86119 1764355 380 1238 890 9878 86069 2645832 361 2708
845 9360 85884 1106842 541 3097 845 36180 86125 1790607 326 1226 855 40826 85777 2337469 380 3311
837 6243 86112 1137153 553 2088 816 5263 86506 1790110 386 2077 845 6912 86211 2945341 343 9774
865 4839 86117 930645 459 2041 814 5743 86214 1663856 359 1517 824 7293 85502 2344640 348 2941
